	text	label
3728	eul-boon kim's soulful portrayal of the illiterate , deaf-mute grandmother illuminates the dignity of her demeanor and the sad resignation in her eyes . 	1
7378	prison life does not stop kilo from running his operation . 	0
5079	each weekend they come back with nothing but a hangover . 	0
5181	before they carry this out , they want to truly experience life on the edge and they devise a plan by which their suicides will make them legends . 	0
404	a soggy , shapeless mess . . . just a dumb excuse for a waterlogged equivalent of a haunted-house movie . 	1
9871	"for the next 2 1/2 years , these outrageous drag performers created 20 shows with titles like "" a crab on uranus means you're loved "" and "" tinsel tarts in a hot coma , "" and were featured in four underground films . "	0
2322	a perfectly respectable , perfectly inoffensive , easily forgettable film . 	1
3052	on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play . 	1
4115	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 	1
9379	chomsky's voice may be unpopular , but his incisive arguments , based on decades of research and analysis , are heard and considered in this chronicle comprised of interview footage , and various talks he's given . 	0
6884	he is the captain of a dysfunctional bowling team , he is a momma's boy , but more importantly , he loves aida . 	0
681	even with all those rough edges safely sanded down , the american insomnia is still pretty darned good . 	1
2142	a polished and vastly entertaining caper film that puts the sting back into the con . 	1
4972	this sensitive , smart , savvy , compelling coming-of-age drama delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem . 	1
7694	watch as the archetypal stories of life and death , love and renewal , and battles between good and evil cross lines of culture and class to speak in the language of raw human emotion . 	0
8588	greta is a sharp , spunky editor who is rotten with ambition . 	0
4837	a triumph , a film that hews out a world and carries us effortlessly from darkness to light . 	1
1131	the most ill-conceived animated comedy since the 1991 dog rover dangerfield . 	1
1932	the film is a travesty of the genre and even as spoof takes itself too seriously . 	1
114	the work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims . 	1
1723	a by-the-numbers patient/doctor pic that covers all the usual ground	1
1429	the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . 	1
9723	the rules - if one person leaves , everyone loses . 	0
9739	a seasoned call girl is offered a way out of the business if she uncovers a blackmail ring in a house of prostitution . 	0
6239	this is the dark , moody tale of a neglected housewife who discovers she can escape her loneliness and recover a sense of interaction with her husband by having conversations with him . . . 	0
7222	the rebellion against sauron is building up and will be led by gandalf the white ( sir ian mckellen ) , who was thought to be dead after the balrog captured him . 	0
4334	allen's underestimated charm delivers more goodies than lumps of coal . 	1
563	land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored . 	1
2988	perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going . 	1
7142	these camps were surrounded by barb wire and guard towers . 	0
8397	if she can come to terms with it , rachel might just have a chance at love . 	0
7033	always excitable and volatile , jie becomes reckless and dangerous when he has the gun in his hand . 	0
6920	the comet hale-bopp is shooting across the sky for the last time in 4000 years . 	0
4788	in the end , the movie bogs down in insignificance , saying nothing about kennedy's assassination and revealing nothing about the pathology it pretends to investigate . 	1
8263	they've all got midlife crises : clownish beav has love problems ; the intellectual shrink , henry , is slowly succumbing to the siren song of suicide ; pete is losing a war with beer ; jonesy has had weird premonitions ever since he got hit by a car . 	0
9435	no matter what people tried , nothing could stop the water . 	0
9478	an abusive and often intoxicated man , john rules the household , and though his attacks on steve result in emergency hospital visits , cheryl's loyalty is to her boyfriend . 	0
5221	ben cronin has it all : the admiration of his many friends , a terrific girlfriend , and he's on the fast-track to an athletic scholarship . 	0
2397	this slender plot feels especially thin stretched over the nearly 80-minute running time . 	1
7211	"george "" ice man "" chambers ( rhames ) is a top ranked heavyweight boxer . "	0
216	the waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . 	1
9418	now , kimberly , along with the other survivors , must find a way to save themselves . . . 	0
9473	are the experiences of the main character profound , or simply routine ? 	0
6613	anmol's greedy wife mona ( amrita arora ) forces him to meet vikrant in india and inform him about guru gulab and collect the prize money . 	0
4537	from the trembling fury of gheorgiu's tosca to the penetrating stare of raimondi's scarpia , this tosca blazes with passion . at its best , it's sublime . 	1
5021	"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side . "	0
500	old people will love this movie , and i mean that in the nicest possible way : last orders will touch the heart of anyone old enough to have earned a 50-year friendship . 	1
8138	the true story about robyn davidson who tamed four wild camels and with her dog , trekked from alice springs to the indian ocean , a trip no-one had ever made . 	0
3285	flounders due to the general sense that no two people working on the production had exactly the same thing in mind . 	1
7909	"a go ! ! ! "" and the paper is dated with the year 2003 . "	0
3910	ratliff deserves high marks for his restraint and willingness not to try and shape or mold our opinion regarding what is being shown . 	1
9560	magneto , having escaped from his plastic prison , forms an unlikely alliance with professor xavier to stop stryker . 	0
894	adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary . 	1
9280	this eruption of bloody violence becomes the catalyst for the unleashing of dark forces with terrifying results . 	0
11	directed by david twohy with the same great eye for eerie understatement that he brought to pitch black . 	1
7900	ever since her new neighbor , mr . mackenheim , the former ruler of a distant alien planet , moved in , all the cats in the neighborhood have been disappearing . 	0
6771	the hilarity belies the poignancy of truth and love and the laughter is punctuated with honesty , tenderness and pain . 	0
3000	a compassionate , moving portrait of an american ( and an america ) always reaching for something just outside his grasp . 	1
8729	a light-hearted and high-spirited story , full of spice , sensuality and romance , viva zapato tells the tale of dolores , a beautiful cuban dancer who decides to leave her failing marriage and open a restaurant by the beach with her aunt from brazil . 	0
7465	the answer involves an insane florist , an irate fruit cart vendor , and a slimy lawyer named uncle stan . 	0
3696	gra�as �s intera��es entre seus personagens , o filme torna-se n�o apenas uma hist�ria divertida sobre uma curiosa persegui��o , mas tamb�m um belo estudo de personagens . 	1
4997	it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one . 	1
5803	in her confusion and grief , she finds consolation in the friendship of their african-american gardener , raymond ( dennis haysbert ) - a socially taboo relationship that leads to the further disintegration of life as she knew it . 	0
1367	 . . . fifty minutes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense . 	1
7591	enter sonia kapoor , the daughter of the 10th richest man in the world . 	0
4384	at its heart and most importantly , spirited away concerns a little girl learning to honour her friends and her family by valuing herself . 	1
1090	savvy director robert j . siegel and his co-writers keep the story subtle and us in suspense . 	1
5250	"a coming of age dramatic comedy dealing with the effect that two "" summers "" have on the lives of several teenagers . "	0
6612	but sue , angry and feeling abandoned by lynn , decides to carry out the killing herself . 	0
8580	documentary about robert mcnamara , secretary of defense in the kennedy and johnson administrations , who subsequently became president of the world bank . 	0
3368	bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i haven't encountered since at least pete's dragon . 	1
507	there's an uneasy balance between the comedy and the drama that doesn't really fire on all levels , but it works on a few of them . 	1
3562	at the right time of day , in the right frame of mind , baran can and should be appreciated as a work of delicate and unmistakable beauty . 	1
7554	matt ( patrick muldoon ) is haunted by the death of a girl from a car accident he caused years ago . 	0
4322	a witty coming-of-middle-age comedy with hilarious performances by first-time director tony shalhoub and wife brooke adams . 	1
790	the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen . 	1
7950	but melanie's past holds many secrets , including jake , the redneck husband she married in high school , who refuses to divorce her . 	0
814	slowly but surely devolves into a fascinating , cringe-inducing portrait of cultural solipsism , climaxing in an emotional meltdown that wouldn't look out of place in mid-period cassavetes . 	1
6725	west has now identified an electrical phenomenon # the nee # which is discharged from the brain at the moment of death . . . and which may be the 'missing link' in his studies : if the nee is re-injected into a re-animated corpse , it should restore the 'subject' to full 'reason' . . . 	0
8321	briar patch is a modern , southern gothic tale of true love and murder . 	0
772	an odd , haphazard , and inconsequential romantic comedy . 	1
6416	her in-laws , who are tired of eva interfering in their lives , decide to set her up with someone so she can leave them alone . 	0
8831	an account of screenwriter charlie kaufman's ( cage ) attempt to adapt susan orlean's ( streep ) non-fiction book the orchid thief , which is the story of john laroche ( cooper ) , a plant dealer who clones rare orchids then sells them to collectors . 	0
7829	the film provides the viewer with a close-up biographical look at the lives of the enforcers of this penalty and of their personal fates . 	0
4593	"shouldn't have been allowed to use the word "" new "" in its title , because there's not an original character , siuation or joke in the entire movie . "	1
6363	the two black men ( anthony and michael ) are successful in the high tech world of silicon valley , and have known each other since childhood . 	0
3279	with exquisite craftsmanship . . . olivier assayas has fashioned an absorbing look at provincial bourgeois french society . 	1
5620	another woman , diana , reads a book and is divided from the real world by fiction . 	0
9424	only the android attendants are still capable of action , mindlessly maintaining and administering the 'drip' . 	0
6952	there is a knock on the door and harry forces mitchell to 'wait' in the closet , and not to make a sound . 	0
2068	[chaiken's] talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters . 	1
8912	the 'fun and games' in which louis and hilary involve soledad are a lacerating look at their twisted relationship . 	0
2495	a shrewd and splendidly volatile b movie structured around a highly original gambit of suspense . 	1
4058	robinson's web of suspense matches the page-turning frenzy that clancy creates . 	1
4127	that such a horrible movie could have sprung from such a great one is one of the year's worst cinematic tragedies . 	1
3272	marlon brando has the godfather , laurence olivier has hamlet , and now tim allen has . . . santa claus . 	1
1857	a captivating and intimate study about dying and loving . . . 	1
4917	this movie has a strong message about never giving up on a loved one , but it's not an easy movie to watch and will probably disturb many who see it . 	1
6175	everyone's favorite mad scientist herbert west is currently in jail after having state's evidence turned against him by his former assistant , dan cain . 	0
6417	18 years ago joe ( travolta ) had a chance to make his dream come true of directing his first movie in hollywood . 	0
3348	it briefly flirts with player masochism , but the point of real interest -� audience sadism -- is evaded completely . 	1
4197	unlike the nauseating fictions peddled by such 'have-yourself-a-happy-little-holocaust' movies as life is beautiful and jakob the liar , the grey zone is honest enough to deny the possibility of hope in auschwitz . 	1
5616	when an ira cell forces him to hear last confession from a suspected informer , will he let them execute the terrorist ? 	0
6133	because of her finn is finally able to accept himself . 	0
3693	a mind-bender in the best sense of the word : the spell it casts follows you all the way home . 	1
6672	by doing this he meets a link between the two time periods ( lang ) . 	0
4719	the story of trouble every day . . . is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie's fragmentary narrative style makes piecing the story together frustrating difficult . 	1
9979	throughout this time , their lives have been entwined with the fate of aboriginal people during times of war , disease and controversial government removalist policies . 	0
2165	the balkans provide the obstacle course for the love of a good woman . 	1
2215	it won't hold up over the long haul , but in the moment , finch's tale provides the forgettable pleasures of a saturday matinee . 	1
5279	will superfag save the world from peckerhead's evil diabolical plan ? 	0
6692	likely to give up their first born before they give up their lodge , the crowd puts their heads together and come up with not one , but three methods of raising the money . 	0
8845	roxie killed her lover when he walked out on her , and velma killed her husband and sister , who were having an affair . 	0
9971	" "" dreamcatcher "" tells the story of four young friends who perform a heroic act - and are changed forever by the uncanny powers they gain in return . "	0
3442	full of profound , real-life moments that anyone can relate to , it deserves a wide audience . 	1
6473	she'll just have to remember everything for the both of them . 	0
6011	through battles and adventures ahas and his companions grow up , but destiny has some bitter surprises to offer . 	0
8638	that is , until the villainous captain hook mistakes her for wendy and abducts her to never land in an attempt to lure and capture peter pan . 	0
7163	when eliza discovers that poachers in africa's serengeti desert plan to kill an elephant herd with an electrified fence , she and her chimpanzee friend darwin must somehow find a way to stop them . 	0
5248	upon sighting a small , previously not there , diner , he pulls in to find help . 	0
3932	the film is itself a sort of cinematic high crime , one that brings military courtroom dramas down very , very low . 	1
2240	davis . . . is so enamored of her own creation that she can't see how insufferable the character is . 	1
2362	a fairly harmless but ultimately lifeless feature-length afterschool special . 	1
4111	if i have to choose between gorgeous animation and a lame story ( like , say , treasure planet ) or so-so animation and an exciting , clever story with a batch of appealing characters , i'll take the latter every time . 	1
1273	austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride . 	1
4151	where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable . 	1
3246	you can see the would-be surprises coming a mile away , and the execution of these twists is delivered with a hammer . thumbs down . 	1
6555	a hitchcockian thriller in the spirit of 'rope' and agatha christie's 'ten little indians' that begs the question can murder , if done well , be considered art ? 	0
5887	emma's a succesful sale agent for a home security company , due in part to being the police chief's daughter . 	0
6591	before she drowns , the baby is rescued by manny and sid . 	0
7636	living in a hidden illegal migrant camp in southern california with her brother and sister , evelia becomes a witness to murder involving international spies . 	0
4605	it's exactly what you'd expect : no more and no less . 	1
5962	upon getting together on their spring break , they realize that they are bored in their small suburban connecticut hometown . 	0
3151	able to provide insight into a fascinating part of theater history . 	1
6012	a story of love and enchantment set in the coldest of winters , it explores the issues , dilemmas and barriers facing the lucky and unlucky in love in the 21st century , based on the novel of the same name by pullitzer prize-winning author carol shields . 	0
1365	it's not a classic spy-action or buddy movie , but it's entertaining enough and worth a look . 	1
139	even if the world doesn't see things the way [michael moore] does , his questions are worth asking . � and bowling for columbine benefits from his iconoclastic zeal . 	1
525	the symbols float like butterflies and the spinning styx sting like bees . i wanted more . 	1
5009	david is a painter with painter's block who takes a job as a waiter to get some inspiration . 	0
6038	like her mother , she is down to earth , clever , and a huge fan of the musical sweeney todd . 	0
1358	take a friend ( invisible or real ) to see this one . . . it's laugh out loud funny	1
4548	a universally accessible family fantasy with a stronger sense of its time and place than most live-action films can claim . 	1
2020	plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king . 	1
775	i certainly found its depiction of a family affected by grief far more believable and effective than the strident dish-breaking , breast-beating of in the bedroom . 	1
239	there is simply not enough of interest onscreen to sustain its seventy-minute running time . 	1
7181	the war of the ring has now begun . . . 	0
9923	"in 1975 , as the vietnam war was ending , thousands of orphans and amerasian children were brought to the united states as part of "" operation babylift . "" "	0
5104	chomsky places the terrorist attacks in the context of american foreign intervention throughout the postwar decades--in vietnam , central america , the middle east , and elsewhere . 	0
2015	nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme . 	1
6865	then a young colorado woman ( beth ulrich ) moves across the hall and things look up , until he learns that she has a total backwoods quality that he doesn't know how to handle . 	0
9680	we also catch a glimpse of the band's ideas about performance from the blend of footage from concerts , television , music videos , and other media . 	0
4511	the stunt work is top-notch ; the dialogue and drama often food-spittingly funny . 	1
9362	he then begins his official duties as development chief of mepe by assessing the needs of the schools and hospitals . 	0
5077	rudy yellowshirt is an investigator with the police department and witnesses firsthand the painful legacy of indian existence . 	0
8839	in fact , she puts her nuptial plans on hold to head to washington d . c . to get an anti-animal testing bill passed . 	0
5804	if they get caught cheating again stark will make a note in their permanent records and possibly kill their chances of getting into college . 	0
2275	chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws . 	1
721	its audacious ambitions sabotaged by pomposity , steven soderbergh's space opera emerges as a numbingly dull experience . 	1
9011	he returns to chris who then sends him with the money he got from the drugs , to an old racist drunk gunrunner named harry , to buy a gun . 	0
9537	in a post communist eastern european country in 1996 the food prices are outrageous and times are tough . 	0
60	a charming trifle . . . a welcome return to jocular form . 	1
694	a disaster of a drama , saved only by its winged assailants . 	1
8410	perky , perfect carolyn and her alpha omega pi sisters plan to win sorority of the year by impressing the greek council with a killer charity : coaching mentally challenged athletes for the regional challenged games . 	0
8596	their only resources , tenacity , determination , ingenuity and each other . 	0
9444	the miseducation of mitchell is a gritty , inner-city drama that covers one day in the life of mitchell , a quiet ten-year-old boy who lives with his crack-head mother ( nayomi ) in a roach infested downtown l . a . motel . 	0
5180	a banker , husband , and father , mr . smith ( larry pine ) must leave it behind him . 	0
9817	together , they work through their mutual mistrust and their shared grief over the death of carlos' mother rosario . 	0
5948	nick is about to discover , true love can be found in the strangest of places . . . 	0
6356	anxious to use artificial life to improve the world , rosetta stone , ( tilda swinton ) , a bio-geneticist creates a recipe for cyborgs and uses her own dna in order to breed three self replicating automatons , part human , part computer named ruby , olive and marine ( also played by tilda swinton ) . 	0
5512	as a result of one of his liaisons , he meets marcus , an odd 12-year-old boy with problems at school . 	0
5688	sam and the kids band together and manage to combat the armed thugs and foil lamb's perfectly planned crime . 	0
9315	god appears in human form ( freeman ) and , endowing bruce with divine powers , challenges bruce to take on the big job to see if he can do it any better . 	0
9328	she finds out that the truth about both her parents is very revealing , shocking at times , but comes to terms with her past . 	0
7036	she sets out to strike down her once fellow assassins , leaving bill for last . 	0
4335	soul is what's lacking in every character in this movie and , subsequently , the movie itself . 	1
9502	terry , a spoilt brat is just too lazy a student . 	0
1928	schnitzler does a fine job contrasting the sleekness of the film's present with the playful paranoia of the film's past . 	1
7831	the filmmakers expose this delightfully deranged cult by capturing the daily lives of its members . 	0
6188	romy dispenses orders like a drill sergeant as they scramble southwest to round up the last two surviving members of eagle's wwii , b-17 bomber crew . 	0
8942	the porn business prospered greatly due to many of the movies he appeared in . 	0
9989	dramatic events throw them together on a journey with no money and no transport . 	0
8003	stan lee discusses the origins of the industry ; neil gaiman and john byrne speak on superheroes as modern mythology ; frank miller and bill sienkewicz discuss the relationship of politics and comics ; peter david tells the story of the meanest thing he has ever done to a fan ; and much more . 	0
576	a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in . 	1
3839	a touching drama about old age and grief with a tour de force performance by michel piccoli . 	1
1384	it's a smart , funny look at an arcane area of popular culture , and if it isn't entirely persuasive , it does give exposure to some talented performers . 	1
6148	in this documentary , hannah , an ex-refugee , returns with her 55 year old son to the prison where she was held for five years . 	0
426	every time you look , sweet home alabama is taking another bummer of a wrong turn . 	1
1926	fun , flip and terribly hip bit of cinematic entertainment . 	1
2131	at the same time touching , funny and breathtaking . 	1
3081	ranks with such films as in the bedroom , ordinary people , and terms of endearment in the sensitivity with which it observes the effect a child's death on the remaining members of the family . 	1
3857	there are times when a rumor of angels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit . 	1
5968	serious and conservative , jamie ( moore ) was as far from cool as she could possibly be , and didn't care . 	0
3016	worth seeing once , but its charm quickly fades . 	1
4112	what could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama . 	1
3015	muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble . but even while his characters are acting horribly , he is always sympathetic . 	1
3817	las horas es una de las obras que con mayor apasionamiento reflexiona acerca del hecho de vivir . . . 	1
6752	the story captures the dilemma of gifted musicians turning music into a professional career without losing artistic integrity and soul . 	0
1033	i admired it , particularly that unexpected downer of an ending . 	1
7761	a series of mysterious and bizarre death threats soon ushers in symptoms of paranoia , unwelcome fame , and eventually a severe case of writer's block . 	0
2891	for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed 'surprises . '	1
3687	this indie drama resonantly demonstrates how a person's worth is weighed in a town where you're only as good as your last game . 	1
2081	fast-paced and wonderfully edited , the film is extremely thorough . 	1
8450	"change up is a documentary that follows the lives of best friends , rafael "" pepey "" rodriguez , and alex sosa , two hard throwing pitchers from the economically poor , but baseball rich island of the dominican republic . "	0
9236	turns out lonnie earl has a thing for candy , and when evidence of this starts to surface , things really start to heat up . 	0
1680	at 78 minutes it just zings along with vibrance and warmth . 	1
2442	sandler , in trusting his director , gives a performance that declares the star a genuinely fine actor . 	1
6995	each of them faces a horrible , bizarre death apparently devised by the dead woman's husband , a deranged two truck driver . 	0
7736	in order to help and protect , asterix and obelix accompany the old druid on his journey to egypt . 	0
911	mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . that's because relatively nothing happens . 	1
3506	for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout . 	1
7879	tired of his constant fixation on drinking and television , herk's wife anna and daughter jenny decide to find new love interests in divorced dad eliot arnold and his son matt . 	0
4562	 in the end , white oleander isn't an adaptation of a novel . it's a flashy , star-splashed reduction . 	1
4219	daughter from danang reveals that efforts toward closure only open new wounds . it doesn't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain . 	1
8018	the killer is getting closer , revealing more and more of his madness . 	0
7917	they carry out a sentence pronounced by rule of law . 	0
8186	the baby that is the anti-christ is switched at birth . 	0
1345	sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 	1
4595	panic room fits nicely within the trajectory of the elegant career arc fincher has already plotted . 	1
6888	this is the story of their lives , their memories , their unbending habits and the films they love . 	0
4728	a vile , incoherent mess . . . a scummy ripoff of david cronenberg's brilliant 'videodrome . '	1
8747	during lunch , michael , plays his well-used race card to make victoria uncomfortable . 	0
9426	"the only way out for johnny is to play brad , which results in a "" race to nine "" showdown that pits two of the greatest players against each other for large sums of money , and johnny and danny's lives . "	0
1725	the attempt is courageous , even if the result is wildly uneven . 	1
4242	nolan bravely treads where few american films dare to delve -- into the world of ambivalence and ambiguity . . . 	1
2427	hollywood ending is not show-stoppingly hilarious , but scathingly witty nonetheless . 	1
4284	it's thoroughly entertaining and nonpatronizing , and occasionally even insightful . 	1
76	so relentlessly wholesome it made me want to swipe something . 	1
1508	it's a shame that the storyline and its underlying themes . . . finally seem so impersonal or even shallow . 	1
3736	i was hoping that it would be sleazy and fun , but it was neither . 	1
5383	but without a doubt , chomsky , now 73 , is one of the most straight-talking and committed dissidents of our time . 	0
5208	this definitely delivers a remarkable mixture of explosive drama with wickedly ironical humor as you follow this eclectic story surrounding this tide-dyed , free spirited couple's showdown with a mysterious faberge' egg and a seedy , well-woven cast of criminals that will both trill and amuse . 	0
558	it's clear why deuces wild , which was shot two years ago , has been gathering dust on mgm's shelf . 	1
5282	"see rare footage of some of the world's greatest kickboxers such as benny "" the jet "" urquidez , don "" the dragon wilson and bill "" superfoot "" wallace . "	0
3399	you feel like you're the one moving at 80 mph , not the street lugers . 	1
42	you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch . 	1
6854	needless to say , both carlos and mickey are burning to get out of the heights . 	0
6745	at the last minute a cyber-friend arrives to join the battle . 	0
3699	ana is a vivid , vibrant individual and the movie's focus upon her makes it successful and accessible . 	1
5157	ethan , a confident young architect and seeming 'perfect guy' has invested himself , and his heart , in women like rachel before - and he is sure he has learned his lesson . 	0
3917	a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction . then again , in a better movie , you might not have noticed . 	1
3682	kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor . 	1
3185	though it inspires some ( out-of-field ) creative thought , the film is -- to its own detriment -- much more a cinematic collage than a polemical tract . 	1
4557	despite his self-consciously obscure plot mechanics , medem keeps you off-balance and intrigued . 	1
4089	this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar . 	1
5260	he must do this in secret so that the parents and school personnel know nothing of his plan . 	0
9042	all of them have demoted the importance of the real world , giving all of their attention to the fantasy world of the movies . 	0
6810	with the help of his trusty sidekick cousin anthony , the two venture on a wild adventure to discover the true meaning of christmas . 	0
8916	it is marta's simple video that proves to be the most compelling , triggering a series of events that effects all five students and forces them to re-evaluate their own belief in the power of motion pictures . 	0
2078	it seems like i have been waiting my whole life for this movie and now i can't wait for the sequel . 	1
6924	two sisters aged six years , no sooner see their remaining parent buried when they are torn apart . 	0
9132	as its 23 horrifying days of flesheating come to an end , the creeper has embarked on its final voracious feeding frenzy in poho county . 	0
5973	the film shows the surreal side of routines that seem simple and ordinary . 	0
1527	worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change . 	1
1466	 . . . could easily be called the best korean film of 2002 . 	1
4188	its adult themes of familial separation and societal betrayal are head and shoulders above much of the director's previous popcorn work . 	1
9205	chris forces mitchell to deliver guns and drugs while he hangs out on a rooftop and freaks out all day . 	0
992	the character of zigzag is not sufficiently developed to support a film constructed around him . 	1
4278	kudos to director doug liman for injecting textbook spy fare with slick intelligence and a truckload of tension . 	1
8915	the end of innocence has already begun and a new path , dark and hopeful , stands waiting like the ships beyond her window . 	0
5860	in this debut short , meeper valiantly tries to warn the patrons of the ale-e-inn , an intergalactic watering hole with its own constellation of stars , of impending danger only to find himself face to face with the toughest creatures in the universe . 	0
2577	best of all is garcia , who perfectly portrays the desperation of a very insecure man . 	1
9417	as dex prepares to do battle with herb , he must also deal with all the intricacies it takes to make a relationship work . 	0
4855	how this one escaped the lifetime network i'll never know . 	1
8201	down and out rock star dewey finn ( black ) gets fired from his band , and he faces a mountain of debts and depression . 	0
546	captures a more realistic depiction of the effects of death on a family . 	1
8577	well , there is a boy named kyle who gets a warning from his friend caitlin to not peek . 	0
6426	many cannot hold a job , or choose not to . 	0
7679	raj has always had a unrequited childhood crush on a friend named tina , but tina's best friend pooja has always had a crush on raj . 	0
